,,,,,Product List,,,,,,,,
601,,,shoe 3pin light jpi & sbi ,,,,1,,135,,,200,
602,,,shoe 3 pin power(N),,,,1,,85,,,150,
667,,,sadal 10 mm,,,,1,,32.5,,,80,
668,,,"sadal 1/2""",,,,1,,61,,,100,
669,,,"sadal 3/4""",,,,1,,73.75,,,150,
670,,,"sadal 1""",,,,1,,86.25,,,180,
671,,,amber capacitor 5uf,,,,1,,180,,,250,
672,,,sea star filling (1 kg),,,,1,,155,,,200,
673,,,star led bulb 12w,,,,1,,150,,,250,
674,,,led tube double (4 feet) rock,,,,1,,900,,,1400,
675,,,power plug Rc,,,,1,,345,,,550,
676,,,extention (808) 4 yrd.,,,,1,,300,,,650,
677,,,extention board,,,,1,,545,,,900,
678,,,bracket fan clip,,,,1,,30,,,50,
679,,,kitchen shok,,,,1,,150,,,200,
680,,,gate lock (medium),,,,1,,1300,,,1750,
681,,,aa,,,,1,,0,,,0,
682,,,door stoper ZDN (H),,,,1,,250,,,350,
683,,,door stoper (N),,,,1,,120,,,250,
684,,,D lock,,,,1,,1250,,,1800,
685,,,DB box plastic,,,,1,,350,,,650,
686,,,tarpine oil 700ml,,,,1,,240,,,350,
687,,,sweep 600ml,,,,1,,100,,,200,
688,,,glue carelith (1/2 kg pkt.),,,,1,,160,,,300,
689,,,glue carelith (1 kg pkt.),,,,1,,280,,,450,
690,,,tri circle pad lock 25mm (black),,,,1,,75,,,100,
691,,,tri circle pad lock 32mm (black),,,,1,,120.8,,,200,
692,,,tri circle pad lock 38mm (black),,,,1,,154.16,,,250,
693,,,"draz lock 3/4"" (N)",,,,1,,95.8333,,,250,
694,,,conection washer ,,,,1,,10,,,50,
695,,,"nalka mixer 6"" (normal)",,,,1,,1150,,,2500,
696,,,"push waste 4""",,,,1,,450,,,700,
697,,,cell big (D size) ,,,,1,,100,,,150,
698,,,uniqe saifan golden ,,,,1,,220,,,600,
350,,,ppr union 40mm ,,,,1,,261.02,,,350,
351,,,ppr end cap 25mm ,,,,1,,26.66,,,40,
352,,,ppr end cap 32mm ,,,,1,,42.16,,,60,
353,,,ppr clamp 25mm ,,,,1,,16.12,,,30,
354,,,ppr clamp 32mm ,,,,1,,21.7,,,40,
355,,,"ppr elbow 25mm x 1/2""",,,,1,,162.44,,,190,
356,,,"ppr elbow 25mm x 3/4""",,,,1,,199.64,,,230,
357,,,"ppr elbow 32mm x 1/2""",,,,1,,266.6,,,300,
358,,,"ppr elbow 32mm x 3/4""",,,,1,,305.66,,,350,
359,,,"ppr elbow 32mm x 1""",,,,1,,395.56,,,440,
360,,,"ppr elbow 40mm x 1""",,,,1,,585.28,,,660,
361,,,"ppr elbow 40mm x 1-1/4""",,,,1,,827.08,,,940,
362,,,"ppr tee 25mm x 1/2""",,,,1,,178.56,,,220,
363,,,"ppr tee 25mm x 3/4""",,,,1,,235.6,,,290,
364,,,"ppr tee 32mm x 1/2""",,,,1,,274.04,,,350,
365,,,"ppr tee 32mm x 3/4""",,,,1,,325.5,,,390,
366,,,"ppr tee 32mm x 1""",,,,1,,504.06,,,590,
367,,,"ppr tee 40mm x 1""",,,,1,,721.06,,,850,
368,,,"ppr tee 40mm x 1-1/4""",,,,1,,851.88,,,950,
369,,,"ppr socket 25mm x 1/2""",,,,1,,144.46,,,170,
370,,,"ppr socket 25mm x 3/4""",,,,1,,188.48,,,220,
371,,,"ppr socket 32mm x 1/2""",,,,1,,235.6,,,280,
372,,,"ppr socket 32mm x 3/4""",,,,1,,290.16,,,350,
373,,,"ppr socket 32mm x 1""",,,,1,,381.91,,,430,
374,,,"ppr socket 40mm x 1""",,,,1,,454.46,,,590,
375,,,"ppr socket 40mm x 1-1/4""",,,,1,,772.52,,,890,
376,,,ppr elbow 32mm x 25mm,,,,1,,75.64,,,90,
377,,,ppr elbow 40mm x 32mm,,,,1,,141.36,,,160,
378,,,ppr elbow 40mm x 25mm,,,,1,,102,,,150,
379,,,ppr tee 32mm x 25mm,,,,1,,84.32,,,130,
380,,,ppr tee 40mm x 25mm,,,,1,,144.46,,,180,
413,,,"gi tee 1-1/4"" x 1""",,,,1,,590,,,750,
414,,,"gi bend  1-1/4"" ",,,,1,,496,,,700,
415,,,"gi elbow  1/2"" x 3/4""",,,,1,,164,,,230,
416,,,"gi elbow  1"" x 1/2""",,,,1,,273,,,350,
417,,,"gi tee 1/2"" x 3/4""",,,,1,,223,,,290,
418,,,"gi tee 1"" x 3/4""",,,,1,,389,,,450,
419,,,"gi tee 1"" x 1/2""",,,,1,,389,,,450,
420,,,"gi elbow 1"" x 3/4""",,,,1,,273,,,350,
421,,,"gi socket 1"" x 3/4""",,,,1,,135,,,250,
422,,,"gi socket 1"" x 1/2""",,,,1,,206,,,260,
423,,,"gi socket 1/2"" x 3/4""",,,,1,,206,,,250,
424,,,"gi cross bend 3/4""",,,,1,,436,,,550,
425,,,wall shower rod 4' (master),,,,1,,500,,,3000,
426,,,"gi socket 1-1/4"" x 1""",,,,1,,323,,,400,
427,,,"pump nozle 1""",,,,1,,38,,,100,
428,,,"pump nozle 1"" x 3/4""",,,,1,,38,,,100,
429,,,"pump nozle 3/4""",,,,1,,24,,,80,
430,,,"pump nozle 1/2""",,,,1,,19,,,60,
431,,,safety jacket,,,,,,235,,,350,
432,,,ppr elbow 50mm,,,,1,,192.2,,,250,
433,,,ppr bend 25mm,,,,1,,97.34,,,150,
434,,,ppr bend 32mm,,,,1,,164.3,,,200,
435,,,"gi elbow 1-/4""x3/4""",,,,1,,390,,,480,
436,,,ppr pipe 40mm (PN-16),,,,1,,1803,,,1980,
437,,,ppr pipe 25mm (feet),,,,1,,54,,,80,
438,,,ppr pipe 32mm (feet),,,,1,,85.84,,,120,
439,,,ppr pipe 40mm (feet),,,,1,,160,,,200,
440,,,"pvc elbow 3"" x 2""",,,,1,,168.48,,,220,
441,,,"pvc elbow 4"" x 3""",,,,1,,221,,,290,
442,,,"pvc elbow 4"" x 2""",,,,1,,209.56,,,280,
443,,,"pvc tee 3"" x 2""",,,,1,,215,,,250,
508,,,"alpine waste pipe 1-1/4""",,,,1,,42,,,250,
509,,,"TFE socket valve 1""",,,,1,,1283,,,1650,
510,,,"socket valve 1-1/4"" Sb",,,,1,,1300,,,2500,
511,,,"amir ball valve 1-1/4""",,,,1,,1240,,,2500,
512,,,"amir ball valve 1-1/2""",,,,1,,1500,,,2900,
513,,,"amir ball valve 2"" ",,,,1,,1800,,,3200,
514,,,floor waste (plastic),,,,1,,95,,,350,
515,,,door bell amson ,,,,1,,300,,,450,
516,,,ac cable 110/76 (2core),,,,1,,178,,,300,
517,,,comode washer (silicone),,,,1,,50,,,100,
518,,,drain pipe (multi) wm,,,,1,,65,,,150,
519,,,"mixer pipe 18"" (crome)",,,,1,,300,,,700,
520,,,dispensor bottle handle ,,,,1,,170,,,300,
521,,,daba steel nail (taiwan),,,,1,,490,,,600,
522,,,"daba steel nail (taiwan) 5"" & 6""",,,,1,,550,,,650,
523,,,"steel nail 1"" (Dzn.)",,,,1,,16,,,40,
524,,,"steel nail 1.5"" (Dzn.)",,,,1,,28,,,60,
525,,,"steel nail 2"" (Dzn.)",,,,1,,50,,,80,
526,,,"steel nail 2.5"" (Dzn.)",,,,1,,37,,,120,
527,,,"steel nail 3"" (Dzn.)",,,,1,,70,,,150,
528,,,"steel nail 4"" (Dzn.)",,,,1,,110,,,240,
529,,,"steel nail 5"" (Dzn.)",,,,1,,160,,,300,
530,,,"steel nail 6"" (Dzn.)",,,,1,,200,,,360,
531,,,Tiki holder,,,,1,,62.5,,,100,
532,,,Lumino down light (7w),,,,1,,210,,,300,
533,,,sova smd panel light (12w),,,,1,,550,,,650,
534,,,smd pololite 18w (anda),,,,1,,310,,,450,
535,,,multi shoe (S),,,,1,,120.8333,,,200,
536,,,cell toshiba AA & AAA,,,,1,,31.5,,,50,
537,,,pendent holder (wire),,,,1,,165,,,450,
538,,,convertor pin - thread,,,,1,,30,,,80,
603,,,mobile multi,,,,1,,35,,,80,
604,,,2 pin holder,,,,1,,43.333,,,80,
605,,,L pipe gyser,,,,1,,150,,,300,
606,,,tri circle pad lock 63mm (black),,,,1,,341,,,500,
607,,,"mixer pipe 1/2"" (crome) 1pcs.",,,,1,,440,,,900,
608,,,"patra jali 3""",,,,1,,33,,,60,
609,,,"patra jali 4""",,,,1,,39,,,80,
610,,,gutka,,,,1,,19,,,40,
611,,,uniqe seat cover nut (universal),,,,1,,60,,,150,
612,,,wm pipe (2m),,,,1,,750,,,1000,
613,,,"uniqe comode nut 4""(pair)",,,,1,,45,,,250,
614,,,cp cup (small),,,,1,,8,,,30,
615,,,cp cup (medium),,,,1,,40,,,100,
616,,,cp cup (large),,,,1,,70,,,200,
617,,,mashallah (silver),,,,1,,4000,,,5000,
618,,,"rawal bolt 1/4""",,,,1,,18,,,30,
619,,,"rawal bolt 5/16""",,,,1,,22,,,30,
620,,,"rawal bolt 3/8""",,,,1,,27,,,40,
621,,,"brass elbow 1/2""",,,,1,,170,,,280,
622,,,"brass tee 1/2""",,,,1,,450,,,450,
623,,,"brass MF elbow 1/2""",,,,1,,130,,,350,
624,,,"brass nipple 1/2""",,,,1,,40,,,220,
625,,,wall shower nut,,,,1,,90,,,250,
626,,,chand washer set (master),,,,1,,130,,,300,
627,,,chand washer set,,,,1,,110,,,250,
628,,,shisha u bracket (12mm),,,,1,,70,,,250,
629,,,mirror clip (plastic),,,,1,,17.5,,,50,
630,,,mosketo rod (1 feet) slim,,,,1,,210,,,380,
631,,,goda pair (steel),,,,1,,100,,,350,
632,,,goda pair (BIG),,,,1,,330,,,600,
633,,,ac choki bracket ,,,,1,,570,,,950,
634,,,pipe joint,,,,1,,10,,,50,
699,,,saifan IFO (complete),,,,1,,220,,,650,
700,,,saifan IFO (plunger),,,,1,,150,,,450,
701,,, uniqe saifan universal (grey) ,,,,1,,400,,,1000,
702,,,"binding tape 1.5"" (15yrd.)",,,,1,,160,,,350,
703,,,double nozle,,,,1,,170,,,300,
704,,,wire drain opening,,,,1,,200,,,450,
705,,,uniqe float valve (khara),,,,1,,115,,,350,
706,,,float valve pata (china),,,,1,,240,,,600,
707,,,factor led (50w) blaz,,,,1,,1070,,,1600,
708,,,uniqe Taj push (laltain),,,,1,,60,,,250,
709,,,tape (osaka),,,,1,,43,,,50,
710,,,ruber (black) ,,,,1,,15,,,30,
711,,,"Hose pipe 3/4"" (accufit) 2.5 mm",,,,1,,39.1666,,,60,
712,,,tes 1 Gang,,,,1,,109.2,,,350,
713,,,tes 2 Gang,,,,1,,129,,,380,
714,,,tes 3 Gang,,,,1,,160,,,390,
715,,,tes 4 Gang,,,,1,,178,,,450,
716,,,tes 6 Gang,,,,1,,267,,,750,
717,,,tes 8 Gang,,,,1,,298,,,790,
718,,,tes 10 Gang,,,,1,,341,,,950,
719,,,tes 1+1,,,,1,,165,,,350,
720,,,tes 2+1,,,,1,,193,,,390,
721,,,tes 2+2,,,,11,,238,,,490,
722,,,tes 3+1,,,,1,,178,,,450,
723,,,tes 4+2,,,,1,,347,,,750,
724,,,tes 5+1,,,,1,,347,,,750,
725,,,tes 6+2,,,,,,416,,,1540,
726,,,tes 7+1,,,,1,,298,,,880,
727,,,tes 8+2,,,,1,,437,,,950,
728,,,tes 9+1,,,,1,,341,,,950,
729,,,tes 2 way,,,,1,,165,,,390,
730,,,tes bell push (single),,,,1,,202,,,450,
763,,,polo 2 way,,,,1,,167,,,555,
764,,,tester (afco),,,,1,,45,,,60,
765,,,basin mixer (super asia),,,,1,,1475,,,2200,
766,,,"parda bracket 1"" (DEGI)",,,,1,,85,,,150,
767,,,"bush 1/2"" x 3/4"" ss",,,,1,,140,,,250,
768,,,sink mixer lever (china),,,,1,,3000,,,5500,
769,,,extention 928 book,,,,1,,360,,,700,
770,,,float switch (E con),,,,1,,600,,,1200,
771,,,sea star silicone bottle GP,,,,1,,320,,,380,
772,,,amber capacitor 6uf,,,,,,190,,,260,
773,,,"tanki bush 1/2"" x 3/4""",,,,1,,75,,,280,
774,,,sea star spacer,,,,1,,95,,,150,
775,,,thimble (wonder),,,,1,,185,,,450,
776,,,"tower bolt 4""",,,,1,,97,,,150,
777,,,"tower bolt 6""",,,,1,,145,,,200,
778,,,"tower bolt 8""",,,,1,,194,,,250,
779,,,"tower bolt 12""",,,,1,,252,,,600,
780,,,parda bracket (double),,,,1,,140,,,220,
781,,,"brass nipple 3/4""",,,,1,,120,,,200,
782,,,"spacer 1"" china",,,,1,,55,,,100,
783,,,"spacer 1-1/2"" china",,,,1,,70,,,120,
784,,,"spacer 2"" china",,,,1,,80,,,150,
785,,,ball catcher china,,,,1,,190,,,350,
786,,,ppr pipe 40mm (pn-20),,,,1,,2068,,,2250,
787,,,sink waste plastic,,,,1,,29,,,100,
788,,,"exelent box 3 x6""",,,,1,,40,,,60,
789,,,dawn seat cover (IFO),,,,1,,840,,,1250,
790,,,bed switch,,,,1,,41.666,,,80,
791,,,"super master sink bowl 13""x16"" (H)",,,,1,,2150,,,3800,
792,,,"loose screw 1/2"" dzn.",,,,1,,10,,,30,
793,,,"super master sink bowl 14""x17"" (H)",,,,1,,2000,,,3800,
794,,,meter box (normal),,,,1,,1000,,,1450,
795,,,board wood (M),,,,1,,380,,,550,
796,,,duct 40x40 (china) ,,,,1,,500,,,850,
797,,,"duct 3/4"" (china) ",,,,1,,180,,,280,
798,,,"duct 1"" (china) ",,,,1,,200,,,450,
799,,,capacitor 4.5uf,,,,1,,70,,,200,
800,,,"draz lock 3/4"" (H)",,,,1,,183.33,,,350,
801,,,solution 70 grm,,,,1,,79.1666,,,150,
802,,,solution 125 grm,,,,1,,158.333,,,350,
803,,,solution 250 grm,,,,1,,230,,,450,
804,,,solution 500 grm,,,,1,,460,,,750,
805,,,machine lock (normal),,,,1,,300,,,750,
806,,,machine lock (heavy),,,,1,,450,,,900,
807,,,goda washer,,,,1,,12.5,,,40,
808,,,"packing tape 2"" (25 & 30 yrd.)",,,,1,,95,,,250,
809,,,green jali (feet),,,,1,,87.8787,,,150,
810,,,"loose screw 3/4"" dzn.",,,,1,,15,,,30,
811,,,"Fan rod 18"" (normal)",,,,1,,160,,,250,
812,,,spray paint golden+crome,,,,1,,440,,,480,
813,,,thermal role,,,,1,,190,,,220,
814,,,gmsa silicone bottle,,,,1,,330,,,450,
815,,,silicone tube (small),,,,1,,60,,,100,
816,,,silicone tube (big),,,,1,,110,,,150,
817,,,smd panel light (6w),,,,1,,300,,,480,
818,,,"masking tape 2""(25 yrd.)",,,,1,,150,,,250,
819,,,"wall tiki 4""",,,,1,,38,,,60,
820,,,electric heater (rod),,,,1,,80,,,220,
821,,,uniqe double push (S) china,,,,1,,170,,,350,
822,,,uniqe double push (M) china,,,,1,,150,,,400,
823,,,uniqe double push (L) china,,,,1,,160,,,450,
824,,,handle dasti (S),,,,1,,50,,,90,
825,,,handle dasti (M),,,,1,,70,,,150,
826,,,handle dasti (L),,,,1,,90,,,180,
827,,,"JP ceiling exaist fan 10""",,,,1,,3480,,,4800,
828,,,"nalka mixer 12"" heavy",,,,1,,3800,,,6500,
829,,,wire lock (heavy),,,,1,,550,,,750,
830,,,factor led (40w) blaz,,,,1,,850,,,1250,
831,,,"patra jali 4"" (heavy)",,,,1,,60,,,150,
832,,,"disc 7"" (hengleda)",,,,1,,950,,,1250,
833,,,wire lock (medium),,,,1,,450,,,650,
834,,,"nalka mixer 6"" heavy",,,,1,,1950,,,3500,
835,,,gate lock (Heavy),,,,1,,1850,,,2800,
836,,,"TFE safety valve 1/2"" spell",,,,1,,543,,,790,
837,,,ac remote (stand),,,,1,,110,,,200,
838,,,jharu phool (H),,,,1,,300,,,450,
839,,,presure car washer (olym.881),,,,1,,10800,,,12000,
840,,,star master cito (one piece) ,,,,1,,9193,,,14500,
841,,,star master cito (two piece),,,,1,,7700,,,10500,
842,,,shoe 3 pin power(M),,,,1,,110,,,200,
843,,,plastic sheet color (kg),,,,1,,200,,,250,
844,,,eflux moon light 12w,,,,1,,305,,,400,
845,,,zahid bib cock aqua (nozle),,,,1,,915,,,1300,
846,,,cob light (3w),,,,1,,175,,,300,
847,,,driver screw ,,,,1,,125,,,250,
848,,,dada pump (elec.),,,,1,,750,,,1500,
849,,,hamer ruber (big),,,,1,,400,,,550,
850,,,latoo draz black,,,,1,,55,,,100,
851,,,meter coupling,,,,1,,100,,,200,
852,,,vanity mixer china (long),,,,1,,2750,,,5500,
853,,,"nalka mixer 12"" (medium)",,,,1,,2850,,,5500,
854,,,"packing tape 2"" (60yrd)",,,,1,,200,,,450,
855,,,"scotch tape 1"" (40yrd)",,,,1,,90,,,220,
444,,,"pvc tee 4"" x 2""",,,,1,,434,,,490,
445,,,"pvc tee 4"" x 3""",,,,1,,440,,,500,
446,,,"pvc tee 5"" x 4""",,,,1,,1004,,,1200,
447,,,"pvc tee 6"" x 4""",,,,1,,1292,,,1550,
448,,,"pvc yee 3"" x 2""",,,,1,,261.04,,,350,
449,,,"pvc yee 4"" x 2""",,,,1,,315.12,,,390,
450,,,"pvc yee 4"" x 3""",,,,1,,326.04,,,450,
451,,,"pvc yee 6"" x 4""",,,,1,,945.88,,,1280,
452,,,"pvc socket 3""x 2""",,,,1,,93.6,,,150,
453,,,"pvc socket 4""x 3""",,,,1,,139.36,,,220,
454,,,"pvc socket 4""x 2""",,,,1,,127.4,,,200,
455,,,"pvc side socket 4""x 2""",,,,1,,157,,,190,
456,,,"pvc bush 3""x 2""",,,,1,,141,,,190,
457,,,"pvc bush 4""x 3""",,,,1,,177,,,220,
458,,,"pvc bush 4""x 2""",,,,1,,191,,,250,
459,,,"pvc bush 5""x 4""",,,,1,,310,,,380,
460,,,"pvc bush 6""x 4""",,,,1,,410,,,490,
461,,,wind multi light plug (single),,,,1,,315,,,480,
462,,,wind power plug ,,,,1,,318,,,480,
463,,,acid tiger (big),,,,1,,30,,,40,
464,,,"gas valve 1/4"" IA",,,,1,,340,,,550,
465,,,gmsa elfy 2.5grm,,,,1,,22,,,40,
466,,,paper cutter (normal),,,,1,,32,,,100,
467,,,dhaga,,,,1,,7,,,20,
468,,,grease,,,,1,,70.8333,,,100,
469,,,bib cock (rozee),,,,1,,505,,,750,
470,,,tee cock (rozee),,,,1,,505,,,750,
471,,,paper cutter blade,,,,1,,10,,,30,
472,,,"gi cross bend 1""",,,,1,,220,,,350,
473,,,regmar pata / feet,,,,1,,30,,,100,
474,,,jet stove,,,,1,,13.5,,,50,
475,,,jet shower,,,,1,,190,,,500,
635,,,"paint brush 3"" (N)",,,,1,,90,,,180,
636,,,"juiblee clamp 5/8""",,,,1,,10.5,,,20,
637,,,"juiblee clamp 1""",,,,1,,12,,,25,
638,,,"juiblee clamp 1-1/4""",,,,1,,26,,,50,
639,,,"gas nozle 1/4""",,,,1,,10,,,50,
640,,,"gas nozle 1/2""",,,,1,,16,,,50,
641,,,gas tee ,,,,1,,10,,,50,
642,,,gas joint,,,,1,,6,,,30,
643,,,gutka 25mm,,,,1,,110,,,250,
644,,,gutka 32mm,,,,1,,180,,,280,
645,,,gutka 40mm,,,,1,,226,,,350,
646,,,gutka 50mm,,,,1,,305,,,450,
647,,,gutka 63mm,,,,1,,400,,,550,
648,,,"binding tape 2"" (20yrds.)",,,,1,,295,,,480,
649,,,Wahu pad lock 30mm,,,,1,,225,,,380,
650,,,Wahu pad lock 40mm,,,,1,,300,,,480,
651,,,Wahu pad lock 50mm,,,,1,,335,,,580,
652,,,Wahu pad lock 60mm,,,,1,,380,,,680,
653,,,door bell wireless,,,,1,,640,,,900,
654,,,samad bond tube 40grm.(M),,,,1,,110,,,150,
655,,,acid tiger (small) b-clean,,,,1,,20.8333,,,30,
656,,,randa belt (normal),,,,1,,70,,,150,
657,,,randa belt (heavy),,,,1,,150,,,250,
658,,,"ppr plug 3/4""",,,,1,,17.36,,,50,
659,,,belt ,,,,1,,3.5,,,6,
660,,,"pipe nipple 1/2""",,,,1,,7.66,,,20,
661,,,"pipe nipple 3/4""",,,,1,,10,,,30,
662,,,"pipe nipple 1""",,,,1,,16.3333,,,40,
663,,,"pipe nipple 1-1/4""",,,,1,,32.4,,,70,
664,,,"pipe nipple 1-1/2""",,,,1,,35,,,90,
665,,,"pipe nipple 2""",,,,1,,44,,,100,
666,,,sadal ,,,,1,,24.375,,,50,
731,,,tes bell push (double),,,,1,,178,,,490,
732,,,tes tv,,,,1,,129,,,390,
733,,,tes light plug,,,,1,,238,,,650,
734,,,tes tel,,,,1,,138,,,390,
735,,,tes power plug,,,,1,,246,,,550,
736,,,tes fan dimer,,,,1,,180,,,300,
737,,,wind multi light plug (double),,,,1,,568.5,,,850,
738,,,ac bracket (M),,,,1,,580,,,750,
739,,,Db box 6 breakers (04 connect),,,,1,,1300,,,1800,
740,,,Db box 9 breakers (07 connect),,,,1,,1575,,,2200,
741,,,Db box 12 breakers (010 connect),,,,1,,1755,,,2500,
742,,,Db box 15 breakers (013 local),,,,1,,1500,,,2800,
743,,,Db box 22 breakers (019 connect),,,,1,,3430,,,4500,
744,,,Db box 1meter (9R connect),,,,1,,3430,,,5000,
745,,,tri circle pad lock 50mm (black),,,,1,,250,,,400,
746,,,vanity mixer medium,,,,1,,2200,,,4500,
747,,,magic depoxy (small),,,,1,,55,,,100,
748,,,"chenab motor 1/2"" HP",,,,1,,9000,,,12000,
749,,,"chenab motor 1"" HP",,,,1,,12000,,,18000,
750,,,drill chaka 10mm,,,,1,,140,,,350,
751,,,"plug 1-1/4"" gi",,,,1,,53,,,100,
752,,,"plug 1-1/2"" gi",,,,1,,53,,,120,
753,,,"plug 2"" gi",,,,1,,106,,,180,
754,,,polo 7+1,,,,1,,420,,,1395,
755,,,polo 5+1,,,,1,,370,,,1235,
756,,,polo 2 gang,,,,1,,162,,,540,
757,,,polo tv +tel,,,,1,,264,,,880,
758,,,combination spaner 6mm,,,,1,,100,,,180,
759,,,wind fan dimer,,,,1,,135,,,250,
760,,,combination spaner 7mm,,,,1,,110,,,190,
761,,,air coolar knob,,,,1,,7,,,50,
762,,,polo 1+1,,,,1,,167,,,555,
856,,,"scotch tape 2"" (40yrd)",,,,1,,165,,,300,
857,,,deco set (rubicon),,,,1,,80,,,150,
858,,,scraper patra,,,,1,,43.8333,,,60,
859,,,steel nail washer (dzn),,,,1,,15,,,50,
860,,,naflo hand shower (crome),,,,1,,1635,,,2500,
861,,,aa,,,,1,,0,,,10,
862,,,naflo jet shower prime (crome),,,,1,,665,,,1500,
863,,,naflo jet shower ghori (plastic),,,,1,,460,,,700,
864,,,naflo waste pipe (jumbo),,,,1,,117.5,,,250,
865,,,naflo waste pipe (small),,,,1,,95,,,200,
866,,,enamel (dabi),,,,1,,160,,,250,
867,,,enamel (Qtr.),,,,1,,480,,,800,
868,,,wm pipe (3m),,,,1,,850,,,1300,
869,,,"baitun tee 1""",,,,1,,11.7,,,20,
870,,,saifan tiki ( blue),,,,1,,280,,,500,
871,,,"dabi screw 3/4"" x 6",,,,1,,84,,,120,
872,,,sink bowl 15 x 19 (blue),,,,1,,1640,,,3200,
873,,,"loose screw 1"" dzn.",,,,1,,20,,,40,
874,,,cell bell (23A+27A),,,,1,,70,,,150,
875,,,"loose screw 1-1/4"" dzn.",,,,1,,25,,,60,
876,,,gainer pad lock 40mm ,,,,1,,300,,,480,
877,,,"loose screw 1-1/2"" dzn.",,,,1,,30,,,60,
878,,,"loose screw 2"" dzn.",,,,1,,40,,,80,
879,,,wiper (H),,,,1,,350,,,550,
880,,,wiper (M),,,,1,,220,,,400,
881,,,wiper (N),,,,1,,180,,,350,
882,,,wiper brush (M),,,,1,,170,,,350,
883,,,brush toilet,,,,1,,125,,,200,
884,,,jharu (normal),,,,1,,100,,,200,
885,,,wiper brush (H),,,,1,,200,,,350,
886,,,knob stove steel (H),,,,1,,125,,,200,
950,,,zahid wall shower (profit),,,,1,,5100,,,8000,
951,,,zahid wall shower (aqua),,,,1,,4600,,,7500,
952,,,double bib cock (normal),,,,1,,1180,,,1900,
953,,,Lpg cylender (2 kg),,,,1,,1750,,,2500,
954,,,Lpg cylender (4 kg),,,,1,,2200,,,3000,
955,,,Lpg cylender (6 kg),,,,1,,2650,,,3500,
956,,,level pipe,,,,1,,7.5,,,30,
957,,,shoe exelent 3 pin power(15a),,,,1,,194,,,300,
958,,,neck fancy china,,,,1,,435,,,1300,
959,,,"nails 5""",,,,1,,5,,,10,
960,,,mop duster (H),,,,1,,450,,,650,
961,,,"disc 5"" regmar",,,,1,,150,,,250,
962,,,sufeda ,,,,1,,41.666,,,100,
963,,,wm pipe (5m),,,,1,,1400,,,1600,
964,,,"steel washer 1/4""",,,,1,,20,,,40,
965,,,bulb hot bird,,,,1,,128,,,300,
966,,,almari bracket GT,,,,1,,35,,,80,
967,,,geyser kit,,,,1,,400,,,600,
968,,,geyser indicator bulb,,,,1,,40,,,80,
969,,,iron bulb,,,,1,,8,,,50,
970,,,corner cabinet,,,,1,,1050,,,2000,
971,,,towel rod (M),,,,1,,350,,,800,
972,,,vanity mixer (china),,,,1,,1100,,,4500,
973,,,cooker ruber silicone,,,,1,,280,,,450,
974,,,seat cover (hydriolic),,,,1,,1250,,,2500,
975,,,seat cover IFO (crown),,,,1,,700,,,1200,
976,,,"amir ball valve 1"" ",,,,1,,901.6,,,1350,
977,,,basin mixer (local),,,,1,,1100,,,2500,
978,,,"vanity nalka mixer 12"" (normal)",,,,1,,1450,,,3800,
979,,,spindal lever (Handle) ,,,,1,,220,,,450,
980,,,db box 8 breaker open,,,,1,,590,,,950,
1013,,,heater supply (big),,,,1,,950,,,1250,
1014,,,geyser knob set,,,,1,,30,,,100,
1015,,,head crystal master,,,,1,,115,,,300,
1016,,,ppi sheet,,,,1,,3.5,,,10,
1017,,,head brass (flower),,,,1,,145,,,450,
1018,,,breaker box 2pcs.,,,,1,,85,,,150,
1019,,,"gi pipe 1/2"" (feet)",,,,1,,123,,,180,
1020,,,"gi pipe 3/4"" (feet)",,,,1,,175,,,220,
1021,,,"gi pipe 1"" (feet)",,,,1,,250,,,300,
1022,,,bulb candle (5w),,,,1,,135,,,250,
1023,,,"wm bush 1/2"" x 1"" (brass)",,,,1,,120,,,300,
1024,,,wm nozle ,,,,1,,60,,,150,
1025,,,driver set (mobile laLtin ),,,,1,,700,,,1000,
1026,,,smt meter tape (100' steel),,,,1,,710,,,1200,
1027,,,wati hand ,,,,1,,40,,,80,
1028,,,dawn flush tank (swift),,,,1,,1758,,,2800,
1029,,,tedy small,,,,1,,108.333,,,150,
1030,,,tedy big,,,,1,,125,,,180,
1031,,,meter tape 16' (M),,,,1,,116.6666,,,200,
1032,,,bulb 100 w,,,,1,,90,,,150,
1033,,,bulb 200 w,,,,1,,90,,,150,
1034,,,bulb 0 watt,,,,1,,32,,,50,
1035,,,hot pipe 1m (1pcs),,,,1,,300,,,400,
1036,,,malmal 3 yrds.,,,,1,,95,,,150,
1037,,,knob stove steel (M),,,,1,,100,,,150,
1038,,,sink bowl 13 x 16 (green),,,,1,,900,,,2500,
1039,,,sink bowl 14 x 17 (green),,,,1,,1050,,,2800,
1040,,,"kili clamp 1/2""",,,,1,,15,,,30,
1041,,,"kili clamp 3/4""",,,,1,,20,,,40,
1042,,,"kili clamp 1""",,,,1,,25,,,50,
1043,,,"kili clamp 1-1/4""",,,,1,,30,,,60,
1044,,,parda ring (golden steel),,,,1,,50,,,150,
1045,,,neel 250g,,,,1,,80,,,150,
1046,,,shelf bracket (plastic),,,,1,,7,,,10,
1047,,,plier cutter,,,,1,,450,,,600,
1048,,,crome latoo (medium),,,,1,,140,,,250,
1049,,,gi nipple 1/2 x 3/4,,,,1,,50,,,250,
1050,,,flexible neck (small) fan,,,,1,,140,,,250,
1051,,,neck casted (small),,,,1,,570,,,1100,
